adler2	2.0.1	0BSD OR MIT OR Apache-2.0	https://github.com/oyvindln/adler2	registry+https://github.com/rust-lang/crates.io-index
aes	0.8.4	MIT OR Apache-2.0	https://github.com/RustCrypto/block-ciphers	registry+https://github.com/rust-lang/crates.io-index
ahash	0.8.12	MIT OR Apache-2.0	https://github.com/tkaitchuck/ahash	registry+https://github.com/rust-lang/crates.io-index
aho-corasick	1.1.4	Unlicense OR MIT	https://github.com/BurntSushi/aho-corasick	registry+https://github.com/rust-lang/crates.io-index
alloc-no-stdlib	2.0.4	BSD-3-Clause	https://github.com/dropbox/rust-alloc-no-stdlib	registry+https://github.com/rust-lang/crates.io-index
alloc-stdlib	0.2.2	BSD-3-Clause	https://github.com/dropbox/rust-alloc-no-stdlib	registry+https://github.com/rust-lang/crates.io-index
android_system_properties	0.1.5	MIT/Apache-2.0	https://github.com/nical/android_system_properties	registry+https://github.com/rust-lang/crates.io-index
anstream	1.0.0	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	registry+https://github.com/rust-lang/crates.io-index
anstyle	1.0.14	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	registry+https://github.com/rust-lang/crates.io-index
anstyle-parse	1.0.0	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	registry+https://github.com/rust-lang/crates.io-index
anstyle-query	1.1.5	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	registry+https://github.com/rust-lang/crates.io-index
anstyle-wincon	3.0.11	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	registry+https://github.com/rust-lang/crates.io-index
anyhow	1.0.102	MIT OR Apache-2.0	https://github.com/dtolnay/anyhow	registry+https://github.com/rust-lang/crates.io-index
asn1-rs	0.7.1	MIT OR Apache-2.0	https://github.com/rusticata/asn1-rs.git	registry+https://github.com/rust-lang/crates.io-index
asn1-rs-derive	0.6.0	MIT OR Apache-2.0	https://github.com/rusticata/asn1-rs.git	registry+https://github.com/rust-lang/crates.io-index
asn1-rs-impl	0.2.0	MIT/Apache-2.0	https://github.com/rusticata/asn1-rs.git	registry+https://github.com/rust-lang/crates.io-index
async-compression	0.4.42	MIT OR Apache-2.0	https://github.com/Nullus157/async-compression	registry+https://github.com/rust-lang/crates.io-index
atomic-waker	1.1.2	Apache-2.0 OR MIT	https://github.com/smol-rs/atomic-waker	registry+https://github.com/rust-lang/crates.io-index
autocfg	1.5.0	Apache-2.0 OR MIT	https://github.com/cuviper/autocfg	registry+https://github.com/rust-lang/crates.io-index
aws-lc-rs	1.16.3	ISC AND (Apache-2.0 OR ISC)	https://github.com/aws/aws-lc-rs	registry+https://github.com/rust-lang/crates.io-index
aws-lc-sys	0.40.0	ISC AND (Apache-2.0 OR ISC) AND Apache-2.0 AND MIT AND BSD-3-Clause AND (Apache-2.0 OR ISC OR MIT) AND (Apache-2.0 OR ISC OR MIT-0)	https://github.com/aws/aws-lc-rs	registry+https://github.com/rust-lang/crates.io-index
axum	0.8.9	MIT	https://github.com/tokio-rs/axum	registry+https://github.com/rust-lang/crates.io-index
axum-core	0.5.6	MIT	https://github.com/tokio-rs/axum	registry+https://github.com/rust-lang/crates.io-index
base64	0.22.1	MIT OR Apache-2.0	https://github.com/marshallpierce/rust-base64	registry+https://github.com/rust-lang/crates.io-index
base64ct	1.8.3	Apache-2.0 OR MIT	https://github.com/RustCrypto/formats	registry+https://github.com/rust-lang/crates.io-index
bindgen	0.70.1	BSD-3-Clause	https://github.com/rust-lang/rust-bindgen	registry+https://github.com/rust-lang/crates.io-index
bindgen	0.71.1	BSD-3-Clause	https://github.com/rust-lang/rust-bindgen	registry+https://github.com/rust-lang/crates.io-index
bitflags	2.11.1	MIT OR Apache-2.0	https://github.com/bitflags/bitflags	registry+https://github.com/rust-lang/crates.io-index
block-buffer	0.10.4	MIT OR Apache-2.0	https://github.com/RustCrypto/utils	registry+https://github.com/rust-lang/crates.io-index
brotli	8.0.2	BSD-3-Clause AND MIT	https://github.com/dropbox/rust-brotli	registry+https://github.com/rust-lang/crates.io-index
brotli-decompressor	5.0.0	BSD-3-Clause/MIT	https://github.com/dropbox/rust-brotli-decompressor	registry+https://github.com/rust-lang/crates.io-index
bumpalo	3.20.2	MIT OR Apache-2.0	https://github.com/fitzgen/bumpalo	registry+https://github.com/rust-lang/crates.io-index
byteorder	1.5.0	Unlicense OR MIT	https://github.com/BurntSushi/byteorder	registry+https://github.com/rust-lang/crates.io-index
bytes	1.11.1	MIT	https://github.com/tokio-rs/bytes	registry+https://github.com/rust-lang/crates.io-index
bzip2	0.4.4	MIT/Apache-2.0	https://github.com/alexcrichton/bzip2-rs	registry+https://github.com/rust-lang/crates.io-index
bzip2-sys	0.1.13+1.0.8	MIT/Apache-2.0	https://github.com/alexcrichton/bzip2-rs	registry+https://github.com/rust-lang/crates.io-index
cc	1.2.61	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs	registry+https://github.com/rust-lang/crates.io-index
cexpr	0.6.0	Apache-2.0/MIT	https://github.com/jethrogb/rust-cexpr	registry+https://github.com/rust-lang/crates.io-index
cfg-if	1.0.4	MIT OR Apache-2.0	https://github.com/rust-lang/cfg-if	registry+https://github.com/rust-lang/crates.io-index
cfg_aliases	0.2.1	MIT	https://github.com/katharostech/cfg_aliases	registry+https://github.com/rust-lang/crates.io-index
chrono	0.4.44	MIT OR Apache-2.0	https://github.com/chronotope/chrono	registry+https://github.com/rust-lang/crates.io-index
chrono-tz	0.10.4	MIT OR Apache-2.0	https://github.com/chronotope/chrono-tz	registry+https://github.com/rust-lang/crates.io-index
cipher	0.4.4	MIT OR Apache-2.0	https://github.com/RustCrypto/traits	registry+https://github.com/rust-lang/crates.io-index
clang-sys	1.8.1	Apache-2.0	https://github.com/KyleMayes/clang-sys	registry+https://github.com/rust-lang/crates.io-index
clap	4.6.1	MIT OR Apache-2.0	https://github.com/clap-rs/clap	registry+https://github.com/rust-lang/crates.io-index
clap_builder	4.6.0	MIT OR Apache-2.0	https://github.com/clap-rs/clap	registry+https://github.com/rust-lang/crates.io-index
clap_complete	4.6.3	MIT OR Apache-2.0	https://github.com/clap-rs/clap	registry+https://github.com/rust-lang/crates.io-index
clap_derive	4.6.1	MIT OR Apache-2.0	https://github.com/clap-rs/clap	registry+https://github.com/rust-lang/crates.io-index
clap_lex	1.1.0	MIT OR Apache-2.0	https://github.com/clap-rs/clap	registry+https://github.com/rust-lang/crates.io-index
cmake	0.1.58	MIT OR Apache-2.0	https://github.com/rust-lang/cmake-rs	registry+https://github.com/rust-lang/crates.io-index
colorchoice	1.0.5	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	registry+https://github.com/rust-lang/crates.io-index
compression-codecs	0.4.38	MIT OR Apache-2.0	https://github.com/Nullus157/async-compression	registry+https://github.com/rust-lang/crates.io-index
compression-core	0.4.32	MIT OR Apache-2.0	https://github.com/Nullus157/async-compression	registry+https://github.com/rust-lang/crates.io-index
constant_time_eq	0.1.5	CC0-1.0	https://github.com/cesarb/constant_time_eq	registry+https://github.com/rust-lang/crates.io-index
core-foundation	0.10.1	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs	registry+https://github.com/rust-lang/crates.io-index
core-foundation	0.9.4	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs	registry+https://github.com/rust-lang/crates.io-index
core-foundation-sys	0.8.7	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs	registry+https://github.com/rust-lang/crates.io-index
cpufeatures	0.2.17	MIT OR Apache-2.0	https://github.com/RustCrypto/utils	registry+https://github.com/rust-lang/crates.io-index
crc32fast	1.5.0	MIT OR Apache-2.0	https://github.com/srijs/rust-crc32fast	registry+https://github.com/rust-lang/crates.io-index
crossbeam-deque	0.8.6	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam	registry+https://github.com/rust-lang/crates.io-index
crossbeam-epoch	0.9.18	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam	registry+https://github.com/rust-lang/crates.io-index
crossbeam-utils	0.8.21	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam	registry+https://github.com/rust-lang/crates.io-index
crunchy	0.2.4	MIT	https://github.com/eira-fransham/crunchy	registry+https://github.com/rust-lang/crates.io-index
crypto-common	0.1.7	MIT OR Apache-2.0	https://github.com/RustCrypto/traits	registry+https://github.com/rust-lang/crates.io-index
darling	0.21.3	MIT	https://github.com/TedDriggs/darling	registry+https://github.com/rust-lang/crates.io-index
darling_core	0.21.3	MIT	https://github.com/TedDriggs/darling	registry+https://github.com/rust-lang/crates.io-index
darling_macro	0.21.3	MIT	https://github.com/TedDriggs/darling	registry+https://github.com/rust-lang/crates.io-index
data-encoding	2.11.0	MIT	https://github.com/ia0/data-encoding	registry+https://github.com/rust-lang/crates.io-index
der-parser	10.0.0	MIT OR Apache-2.0	https://github.com/rusticata/der-parser.git	registry+https://github.com/rust-lang/crates.io-index
deranged	0.5.8	MIT OR Apache-2.0	https://github.com/jhpratt/deranged	registry+https://github.com/rust-lang/crates.io-index
digest	0.10.7	MIT OR Apache-2.0	https://github.com/RustCrypto/traits	registry+https://github.com/rust-lang/crates.io-index
dirs	6.0.0	MIT OR Apache-2.0	https://github.com/soc/dirs-rs	registry+https://github.com/rust-lang/crates.io-index
dirs-sys	0.5.0	MIT OR Apache-2.0	https://github.com/dirs-dev/dirs-sys-rs	registry+https://github.com/rust-lang/crates.io-index
displaydoc	0.2.5	MIT OR Apache-2.0	https://github.com/yaahc/displaydoc	registry+https://github.com/rust-lang/crates.io-index
